# 色名の由来語と季語(F-06)。**由来語が句に現れること = B 層**であり、色への言及ではない
# certainty: established(定説) / contested(諸説あり) / approximate(近似・推定)
# 色名	由来語	季語	certainty	note
梅染	梅	梅	established	
梅幸茶	梅	梅	contested	尾上梅幸(役者)の名に由来する説が有力 — 植物の梅とは限らない
梅鼠	梅	梅	established	
梅紫	梅	梅	established	
紅梅色	紅梅	紅梅	established	
桜色	桜	桜	established	
桜鼠	桜	桜	established	
灰桜	桜	桜	established	
山吹色	山吹	山吹	established	
山吹茶	山吹	山吹	established	
藤色	藤	藤	established	
藤紫	藤	藤	established	
藤鼠	藤	藤	established	
藤煤竹	藤	藤	established	
藤納戸	藤	藤	established	
躑躅色	躑躅	躑躅	established	
菫色	菫	菫	established	
蓬色	蓬	蓬	established	
若草色	若草	若草	established	
柳色	柳	柳	established	
柳染	柳	柳	established	
柳茶	柳	柳	established	
柳鼠	柳	柳	established	
柳煤竹	柳	柳	established	
裏柳	柳	柳	established	葉の裏の淡い緑
裏葉柳	柳	柳	established	
鶯色	鶯	鶯	established	
鶯茶	鶯	鶯	established	
桃色	桃	桃	established	
菜の花色	菜の花	菜の花	established	
菜種油色	菜の花	菜の花	approximate	菜種は菜の花の実
木蘭色	木蘭	木蘭	contested	木蘭染は樹皮の染色。花の色ではない
海松色	海松	海松	established	
海松茶	海松	海松	established	
藍海松茶	海松	海松	established	
黄海松茶	海松	海松	established	
桑染	桑	桑	established	
雀色	雀	雀	contested	雀の子は春、寒雀は冬 — 季を一意に決められない
雀茶	雀	雀	contested	同上
若菜色	若菜	若菜	established	
卯の花色	卯の花	卯の花	established	
若葉色	若葉	若葉	established	
若竹色	若竹	若竹	established	
菖蒲色	菖蒲	菖蒲	established	
杜若	杜若	杜若	established	色名が植物名そのもの — A 層では拾わない
杜若色	杜若	杜若	established	
牡丹	牡丹	牡丹	established	色名が植物名そのもの — A 層では拾わない
牡丹色	牡丹	牡丹	established	
薔薇色	薔薇	薔薇	established	
苺色	苺	苺	established	
芥子色	芥子	芥子	contested	芥子(からし)の実の色とする説もある
撫子色	撫子	撫子	established	
苗色	苗	苗	established	
若苗色	苗	苗	established	
苔色	苔	苔	established	
枇杷茶	枇杷	枇杷	established	
杏色	杏	杏	established	
小麦色	小麦	小麦	established	
萱草色	萱草	萱草	established	
月白	月	月	approximate	月の出前の空の白み。月は句に 478 回現れる汎用語で、B 層の結び付きは薄い
露草色	露草	露草	established	
桔梗色	桔梗	桔梗	established	
紺桔梗	桔梗	桔梗	established	
女郎花	女郎花	女郎花	established	色名が植物名そのもの — A 層では拾わない
葡萄色/海老色	葡萄	葡萄	contested	えびいろ。葡萄とも海老とも読む
葡萄染	葡萄	葡萄	established	
葡萄鼠	葡萄	葡萄	established	
蒲萄	葡萄	葡萄	established	
栗色	栗	栗	established	
栗梅	栗	栗	established	
栗皮茶	栗	栗	established	
蒸栗色	栗	栗	established	
柿色	柿	柿	established	
柿渋色	柿	柿	established	
洗柿	柿	柿	established	
洒落柿	柿	柿	established	
薄柿	柿	柿	established	
照柿	柿	柿	established	
胡桃色	胡桃	胡桃	established	
胡桃染	胡桃	胡桃	established	
小豆色	小豆	小豆	established	
玉蜀黍色	玉蜀黍	玉蜀黍	established	
苅安色/刈安色	苅安	苅安	established	
鶸色	鶸	鶸	established	
鶸茶	鶸	鶸	established	
鶸萌黄	鶸	鶸	established	
木賊色	木賊	木賊	established	
檸檬色	檸檬	檸檬	established	
朽葉色	朽葉	朽葉	established	
赤朽葉	朽葉	朽葉	established	
青朽葉	朽葉	朽葉	established	
黄朽葉	朽葉	朽葉	established	
鴇色	鴇	鴇	established	
鴇羽色	鴇	鴇	established	
狐色	狐	狐	established	
海老茶	海老	海老	established	
葡萄茶/海老茶	海老	海老	contested	葡萄とも海老とも読む
蜜柑色	蜜柑	蜜柑	established	
