# 季語表(F-06)。色に依存しない独立基盤(N-06)。**色名の由来語**を集めた表である
# 2026-08-23: saijiki-lens が独立着工したが本表は移管しない。あちらは七十二候が
# 名指す事物の季語(露・菊・蝶)を集めた別の表で、目的が違い重なりも小さい
# 季節: 新年/春/夏/秋/冬  時候: 三(通季)/初/仲/晩
# 季語	よみ	季節	時候	note
若菜	わかな	新年	三	春の七草
梅	うめ	春	初	
紅梅	こうばい	春	初	
木蘭	もくれん	春	仲	辛夷と混同されやすい
桑	くわ	春	晩	桑摘
桜	さくら	春	晩	
山吹	やまぶき	春	晩	
藤	ふじ	春	晩	
躑躅	つつじ	春	晩	
桃	もも	春	晩	桃の花。実は秋
菜の花	なのはな	春	晩	
菫	すみれ	春	三	
蓬	よもぎ	春	三	
若草	わかくさ	春	三	
柳	やなぎ	春	三	
鶯	うぐいす	春	三	
海松	みる	春	三	海藻
雀	すずめ	春	三	雀の子。寒雀は冬 — 季を一意に決められない
卯の花	うのはな	夏	初	
若葉	わかば	夏	初	
菖蒲	あやめ	夏	初	
杜若	かきつばた	夏	初	
牡丹	ぼたん	夏	初	
薔薇	ばら	夏	初	
苺	いちご	夏	初	
芥子	けし	夏	初	芥子の花
小麦	こむぎ	夏	初	麦の秋
若竹	わかたけ	夏	仲	
苗	なえ	夏	仲	早苗
枇杷	びわ	夏	仲	実。花は冬
杏	あんず	夏	仲	実。杏の花は春
萱草	かんぞう	夏	仲	忘れ草
撫子	なでしこ	夏	三	秋の七草にも数える
苔	こけ	夏	三	苔の花
露草	つゆくさ	秋	初	
桔梗	ききょう	秋	初	
女郎花	おみなえし	秋	初	
玉蜀黍	とうもろこし	秋	初	
葡萄	ぶどう	秋	仲	
栗	くり	秋	仲	
胡桃	くるみ	秋	仲	
苅安	かりやす	秋	仲	刈るのは秋
柿	かき	秋	晩	
小豆	あずき	秋	晩	
檸檬	れもん	秋	晩	近代の季語
月	つき	秋	三	月そのものが秋の季語
鶸	ひわ	秋	三	
木賊	とくさ	秋	三	
朽葉	くちば	冬	三	
鴇	とき	冬	三	鴇は季語として定着が薄い
狐	きつね	冬	三	
海老	えび	冬	三	伊勢海老
蜜柑	みかん	冬	三	
